产品名称,注册证编号,注册人名称,批准日期 ,有效期
0,腔镜直线型切割吻合器ENDOPATH Endoscopic Linear Cutters,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20162022350,2021-04-23,2026-04-22
0,一次性使用直线型切割吻合器及渐进式钉匣GIA stapler and cartridge with Tri-Staple technology,柯惠有限责任公司 Covidien llc,国械注进20212020064,2021-03-09,2026-03-08
0,电动腔镜直线型切割吻合器和钉仓Echelon Flex Powered Plus Articulating Endoscopic Linear Cutter and Endopath Echelon Endoscopic Linear Cutter Reloads with Gripping Surface Technology,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20163012453,2021-02-18,2026-02-17
0,电动腔镜直线型血管切割吻合器和钉仓ECHELONTM Flex Powered Vascular Stapler with Advanced Placement Tip and ENDOPATH ECHELONTM Vascular White Reload for Advanced Placement Tip,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20163012981,2021-02-01,2026-01-31
0,一次性使用管型吻合器EEA Circular Stapler with Tri-Staple Technology,柯惠有限责任公司Covidien llc,国械注进20202020430,2020-11-23,2025-09-21
0,一次性使用管型吻合器 EEA Circular Stapler with Tri-Staple Technology,柯惠有限责任公司 Covidien llc,国械注进20202020436,2020-09-29,2025-09-28
0,一次性使用管型吻合器EEA Circular Stapler with Tri-Staple,柯惠有限责任公司Covidien llc,国械注进20202020430,2020-09-22,2025-09-21
0,一次性使用电动管型吻合器ECHELON CIRCULAR™ Powered Staplers,"爱惜康内镜外科器械有限责任公司ETHICON ENDO-SURGERY, LLC",国械注进20203010417,2020-09-11,2025-09-10
0,弧形切割吻合器和钉仓CONTOUR Curved Cutter Stapler and Reloads,"爱惜康内镜外科器械有限责任公司Ethicon Endo - Surgery, LLC",国械注进20172021705,2020-09-07,2025-09-06
0,腔镜直线型切割吻合器和钉仓ENDOPATH Endoscopic Linear Cutters and Reloads,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20153023646,2020-09-02,2025-09-01
0,直线形切割吻合器和钉仓PROXIMATE Linear Cutter and Reloads,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20153023188,2020-08-18,2025-08-17
0,腔镜下一次性切割吻合器弧形钉仓Endo GIA Auto Suture Radial Reload with Tri-Staple Technology,柯惠有限责任公司Covidien llc,国械注进20153021467,2020-01-19,2025-01-18
0,"圆形痔吻合器Hemorrhidal Circular Stapler, Suture Threader,Circular Anal Dilator, and Purse-string Suture Anoscope","爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20152023310,2020-01-14,2025-01-13
0,一次性切割吻合器及钉匣GIA Autosuture/SGIA Autosuture Stapler and Loading Unit with DST Series Technology,柯惠有限责任公司Covidien llc,国械注进20152021000,2019-12-26,2024-12-25
0,旋转头切割吻合器GIA Autosuture Universal Stapler,柯惠有限责任公司Covidien llc,国械注进20152021156,2019-12-13,2024-12-12
0,内窥镜弯型腔内吻合器ILS Endoscopic Curved Intraluminal Stapler,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20152020241,2019-09-20,2024-09-19
0,旋转头闭合吻合器Roticulator Autosuture Articulating Stapler,柯惠有限责任公司Covidien llc,国械注进20153020047,2019-09-12,2024-09-11
0,弯型和直型腔内吻合器ILS Curved and Straight Intraluminal Staplers,爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery， LLC,国械注进20152022249,2019-08-28,2024-08-27
0,直线形切割吻合器和可调节钉仓Linear Cutter 55/75mm and Selectable Cartridge/reloads,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20152020243,2019-07-22,2024-07-21
0,切割吻合器及钉匣Reliamax Gastrointestinal Anastomosis and Reload,柯惠有限责任公司Covidien llc,国械注进20153020646,2019-06-21,2024-06-20
1,内镜用切割吻合器及一次性钉匣Multifire Endo GIA Autosuture Single Use Stapler & Single Use Loading Unit,柯惠有限责任公司Covidien llc,国械注进20152020398,2019-05-21,2024-05-20
