产品名称,注册证编号,注册人名称,批准日期 ,有效期
0,配液穿刺器Withdrawal and injection spikes for multidose vials,贝朗梅尔松根股份有限公司B. Braun Melsungen AG,国械注进20162142639,2021-04-16,2026-04-15
0,动静脉穿刺器Fistula Needle for Hemodialysis,费森尤斯医药用品股份及两合公司Fresenius Medical Care AG & Co. KGaA,国械注进20163101629,2021-03-15,2026-03-14
0,一次性使用无刃穿刺器Versaport Bladeless and Versaport Plus Bladeless Trocar,柯惠有限责任公司Covidien llc,国械注进20162021663,2021-03-04,2026-03-03
0,腹腔镜用穿刺器及配件Trocar Systems,德国宝雅医疗科技有限公司PAJUNK GmbH Medizintechnologie,国械注进20162021077,2021-02-20,2026-02-19
0,一次性使用钝头穿刺器VersaOne Blunt Trocar,柯惠有限责任公司Covidien llc,国械注进20212020028,2021-01-27,2026-01-26
0,一次性使用有刃穿刺器VersaOne Bladed Trocar,Covidien llc柯惠有限责任公司,国械注进20212020024,2021-01-27,2026-01-26
0,一次性使用穿刺器VersaOne Optical Trocar,柯惠有限责任公司Covidien llc,国械注进20212020026,2021-01-27,2026-01-26
0,一次性使用无刃穿刺器VersaOne Bladeless Trocar,柯惠有限责任公司Covidien llc,国械注进20212020025,2021-01-27,2026-01-26
0,一次性使用穿刺器套管VersaOne Universal Cannula,柯惠有限责任公司Covidien llc,国械注进20212020027,2021-01-27,2026-01-26
0,穿刺器AnchorPort® Trocar System,康美公司ConMed Corporation,国械注进20152020801,2020-11-27,2025-11-26
0,穿刺器BASX Bladeless Trocars,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20152023187,2020-08-11,2025-08-10
0,穿刺器ENDOPATH XCEL Trocars,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20152023388,2020-08-11,2025-08-10
0,球囊穿刺器与充气球囊Structural Balloon Trocar and Inflation Bulb,柯惠有限责任公司Covidien llc,国械注进20152023828,2020-08-11,2025-08-10
0,穿刺器Trocar,柯惠有限责任公司Covidien llc,国械注进20162021607,2020-07-30,2025-07-29
0,穿刺器Thoracoport Autosuture Trocar,柯惠有限责任公司Covidien llc,国械注进20152023788,2020-07-06,2025-07-05
0,穿刺器及其附件SurgiQuest AirSeal Optical Trocar & Cannula System,康美公司ConMed Corporation,国械注进20142026073,2019-11-18,2024-11-17
0,穿刺器Trocar Systems,德国艾克松有限公司XION GmbH,国械注进20192022418,2019-10-16,2024-10-15
0,"腹腔镜用穿刺器、套管和穿刺内芯Laparoscopic Port, Cannula and Obturator",美国泰利福医疗有限公司Teleflex Medical,国械注进20152021466,2019-10-09,2024-10-08
0,外科穿刺器ENDOPATH Surgical Thoracic Trocar Sleeve with Rounded Tip Obturator,爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery，LLC,国械注进20152022106,2019-09-20,2024-09-19
0,一次性使用穿刺器械Single Use Puncture instrument,"艾镁帝卡有限公司IMEDICOM Co.,Ltd.",国械注进20162140071,2019-04-04,2024-04-03
1,内窥镜手术用穿刺器及附件Trocars,奥林巴斯苇音特和意北公司Olympus Winter & Ibe GmbH,国械注进20152021526,2019-03-11,2024-03-10
1,一次性使用无刃穿刺器VERSAPORT/VERSAPORT PLUS SINGLE USE BLADELESS Trocar,Covidien llc,国械注进20182012061,2018-05-30,2023-05-29
1,多通道单孔腹腔镜手术穿刺器,常广股份有限公司/常廣股份有限公司,国械注许20182660002,2018-01-08,2023-01-07
1,胸部穿刺器FLEXIPATH Flexible Surgical Trocar,"Ethicon Endo-Surgery, LLC",国械注进20173546540,2017-08-24,2022-08-23
1,腹腔镜用穿刺器Trocars for laparoscope use,Richard Wolf GmbH,国械注进20172226005,2017-07-03,2022-07-02
1,穿刺器/大吉士穿刺套管,常广股份有限公司/常廣股份有限公司,国械注许20172150213,2017-06-26,2022-06-25
1,穿刺器ENDOPATH XCEL with OPTIVIEW Technology Trocars,"Ethicon Endo-Surgery, LLC",国械注进20172152058,2017-06-26,2022-06-25
1,腹腔镜用穿刺器Genicon Trocar/Cannula System,GENICON,国械注进20172151572,2017-06-06,2022-06-05
1,腔镜下多器械通路单孔穿刺器SILS Port,Covidien llc,国械注进20172221289,2017-04-28,2022-04-27
1,腹腔镜用穿刺器Trocars for laparoscope use,GENICON,国械注进20172155110,2017-03-27,2022-03-26
1,经颈静脉肝内穿刺器械Transjugular Liver Access Set,Cook Incorporated,国械注进20173150688,2017-03-13,2022-03-12
1,一次性穿刺器“UNIMAX” Surgical Trocar,普威国际有限公司Unimax Medical System Inc.,国械注许20172150017,2017-02-15,2022-02-14
1,微创穿刺器E•Z balloon,"株式会社 八光HAKKO MEDICAL CO.,LTD (株式会社 八光)",国械注进20173660356,2017-02-13,2022-02-12
1,穿刺器 Trocars,Aesculap AG,国械注进20163154674,2016-11-02,2021-11-01
1,配液穿刺器,贝朗医疗(上海国际贸易有限公司,国械注进20163152639,2016-08-22,2021-08-21
1,穿刺器及配件 Trocars and accessories,Aesculap AG,国械注进20162222397,2016-07-11,2021-07-10
1,一次性无刃穿刺器 Versaport Bladeless Low Profile Trocar with Fixation Cannula,Covidien llc,国械注进20162012240,2016-06-27,2021-06-26
1,一次性使用无刃穿刺器 Versaport Bladeless and Versaport Plus Bladeless Trocar,Covidien llc,国械注进20162011663,2016-05-04,2021-05-03
1,穿刺器 Trocar,Covidien llc,国械注进20162661607,2016-05-03,2021-05-02
1,动静脉穿刺器,Fresenius Medical Care AG & Co.KGaA,国械注进20163151629,2016-05-03,2021-05-02
2,腹腔镜用穿刺器及配件 Trocar Systems,PAJUNK GmbH Medizintechnologie,国械注进20162221077,2016-03-14,2021-03-13
2,一次性使用穿刺器械 Single Use Puncture instrument,"IMEDICOM Co.,Ltd.",国械注进20162150071,2016-01-08,2021-01-07
2,穿刺器,Covidien llc,国食药监械(进)字2015第3154199号,2015-12-24,2020-12-23
2,穿刺器 BluntportTM Plus Auto SutureTM Blunt Trocar,Covidien llc,国械注进20153154199,2015-12-24,2020-12-23
2,穿刺器 Thoracoport Autosuture Trocar,Covidien llc,国械注进20152223788,2015-11-20,2020-11-19
2,穿刺器,Covidien llc,国食药监械(进)字2015第2223788号,2015-11-20,2020-11-19
2,外科穿刺器 ENDOPATH Surgical Thoracic Trocar Sleeve with Rounded Tip Obturator,"Ethicon Endo-Surgery,LLC",国械注进20153222106,2015-06-30,2020-06-29
2,外科穿刺器,"Ethicon Endo-Surgery,LLC",国食药监械(进)字2015第3222106号,2015-06-30,2020-06-29
2,内窥镜手术用穿刺器及附件 Trocars,Olympus Winter & Ibe GmbH,国械注进20152221526,2015-05-11,2020-05-10
2,内窥镜手术用穿刺器及附件,Olympus Winter & Ibe GmbH,国食药监械(进)字2015第2221526号,2015-05-11,2020-05-10
2,腹腔镜用穿刺器、套管和穿刺内芯Laparoscopic Port、Cannula and Obturator,Teleflex Medical,国械注进20152221466,2015-05-06,2020-05-05
2,穿刺器 Visiport Plus Auto Suture Optical Trocar/Obturator,Covidien llc,国械注进20152151038,2015-03-27,2020-03-26
2,穿刺器 AnchorPort Trocar System,"SurgiQuest, Inc.",国械注进20152220801,2015-03-09,2020-03-08
2,一次性内镜用穿刺器及附件,泰利福医疗器械商贸(上海)有限公司,国械注进20153660421,2015-01-30,2020-01-29
2,穿刺器及其附件,"SurgiQuest, Inc.",国械注进20142156073,2014-12-22,2019-12-21
2,一次性使用无刃穿刺器,Covidien llc,国食药监械(进)字2014第2014672号,2014-09-28,2019-09-27
