产品名称,注册证编号,注册人名称,批准日期 ,有效期
0,超声刀系统及附件Ultrasonic-Dissector and Accessories,德国泽立有限公司Soering GmbH,国械注进20163012365,2021-05-11,2026-05-10
0,齿科用超声治疗工作尖歯科用多目的超音波治療器,株式会社中西株式会社ナカニシ,国械注进20162174403,2021-05-11,2026-05-10
0,超声牙科手术刀Ultrasonic dental surgical system,瑞士医迈斯电子医疗系统有限公司E.M.S. Electro Medical Systems S.A.,国械注进20163010768,2021-05-07,2026-05-06
0,超声多普勒系统Ultrasound Doppler System,阿卡特有限公司ELCAT GmbH,国械注进20162071941,2021-04-23,2026-04-22
0,超声洁牙机Ultrasonic scaler,瑞士医迈斯电子医疗系统有限公司E.M.S. Electro Medical Systems S.A.,国械注进20162173055,2021-04-16,2026-04-15
0,超声洁牙机Ultrasonic Scaler,卡瓦有限责任公司Kaltenbach & Voigt GmbH,国械注进20172170663,2021-04-14,2026-04-13
0,超声经颅多普勒血流分析仪Ambulatory monitoring transcranial Doppler,法国艾瑅思公司ATYS MEDICAL,国械注进20172072366,2021-04-12,2026-04-11
0,超声乳化仪Ophthalmic Surgical System,慧眼医疗科技公司Medical Technical Products,国械注进20163162957,2021-04-08,2026-04-07
0,关节翻修用超声手术设备及附件Untrasonic Revision System,邦美骨科公司Biomet Orthopedics,国械注进20163011960,2021-04-08,2026-04-07
0,彩色超声诊断系统Diagnostic Ultrasound System and Transducers,"飞利浦超声股份有限公司Philips Ultrasound, Inc.",国械注进20162065123,2021-03-30,2026-03-29
0,一次性使用超声内窥镜水囊超音波用バルーン,豪雅株式会社 HOYA株式会社 豪雅株式会社,国械注进20212060086,2021-03-22,2026-03-21
0,超声电子气管镜超音波軟性気管支鏡,富士胶片株式会社富士フイルム株式会社,国械注进20163064747,2021-03-15,2026-03-14
0,超声高频外科集成系统切割闭合刀头ENSEAL G2 Electrosurgical Devices,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20173016598,2021-03-15,2026-03-14
0,超声诊断系统Ultrasound Imaging System,"爱飞纽医疗系统有限公司ALPINION MEDICAL SYSTEMS CO., Ltd.",国械注进20162062458,2021-03-01,2026-02-28
0,超声洁牙机Dental Scaler,瑞士医迈斯电子医疗系统有限公司E.M.S. Electro Medical Systems S.A.,国械注进20162171379,2021-02-18,2026-02-17
0,超声骨强度仪Ultrasonic Bone Sonometer,毕美特有限公司BeamMed Ltd.,国械注进20162072939,2021-02-18,2026-02-17
0,超声骨切割系统Bone surgery device,法国赛特力公司SATELEC A Company of ACTEON Group,国械注进20153013715,2021-02-05,2026-02-04
0,磁共振引导聚焦超声治疗系统Magnetic Resonance guided Focused Ultrasound,"医视特有限公司InSightec, Ltd.",国械注进20213010036,2021-02-03,2026-02-02
0,超声眼科专用诊断仪Echograph,法国光太医疗公司QUANTEL MEDICAL,国械注进20163162380,2021-01-29,2026-01-28
0,超声皮肤扫描仪Ultrasonic Skin Scanner,卡特斯技术有限公司Cortex Technology ApS,国械注进20162060614,2020-12-30,2025-12-29
1,超声电子上消化道内窥镜超音波軟性胃十二指腸鏡,奥林巴斯医疗株式会社オリンパスメディカルシステムズ株式会社,国械注进20163063147,2020-12-25,2025-12-24
1,超声洁牙手机Ultrasonic handpieces,西诺德牙科设备公司Sirona Dental Systems GmbH,国械注进20162173074,2020-12-21,2025-12-20
1,便携式彩色超声诊断系统,GE Medical Systems Ultrasound & Primary Care Diagnostics LLC,国械注进20203060517,2020-12-11,2025-12-10
1,超声诊断仪,"韩国通用电气超声有限公司GE ULTRASOUND KOREA, Ltd.",国械注进20203060519,2020-12-11,2025-12-10
1,牙科超声治疗仪multi-functional ultrasonic machine,迈超股份公司MECTRON S.p.A,国械注进20152172993,2020-12-08,2025-12-07
1,超声骨密度测定仪超音波骨密度測定装置,古野电气株式会社古野电气株式会社,国械注进20162071106,2020-12-07,2025-12-06
1,超声电子支气管内窥镜PENTAX Medical Ultrasound Video Bronchoscope EB19-J10U( PENTAX Medical ビデオ超音波気管支スコープ EB19-J10U),豪雅株式会社HOYA Corporation(HOYA株式会社),国械注进20203060492,2020-12-01,2025-11-30
1,眼科B型超声诊断仪B-Scan Plus,"爱康泰股份有限公司Accutome, Inc.",国械注进20163160934,2020-11-24,2025-11-23
1,眼科A型超声诊断仪A-Scan Plus Connect,"爱康泰股份有限公司Accutome, Inc.",国械注进20163160936,2020-11-13,2025-11-12
1,彩色超声诊断设备 汎用超音波画像診断装置,株式会社日立制作所 株式会社日立製作所,国械注进20203060471,2020-11-09,2025-11-08
1,彩色超声诊断设备 汎用超音波画像診断装置,株式会社日立制作所 株式会社日立製作所,国械注进20203060472,2020-11-09,2025-11-08
1,超声诊断系统Ultrasonic Diagnostic Equipment,百胜股份有限公司Esaote S.p.A.,国械注进20163061992,2020-11-05,2025-11-04
1,超声电子上消化道内窥镜超音波軟性胃十二指腸鏡,奥林巴斯医疗株式会社オリンパスメディカルシステムズ株式会社,国械注进20163063057,2020-10-29,2025-10-28
1,超声诊断系统Diagnostic Ultrasound System,"美国西门子医疗系统股份有限公司Siemens Medical Solutions USA, Inc.",国械注进20203060454,2020-10-26,2025-10-25
1,超声洁牙机“茂傑”特柏森超音波洗牙機,茂杰生技股份有限公司茂傑生技股份有限公司,国械注许20152170152,2020-10-26,2025-10-25
1,超声诊断仪 범용초음파영상진단장치,三星麦迪逊有限公司 삼성메디슨(주),国械注进20202060446,2020-10-14,2025-10-13
1,超声洁牙机“慶暐”超音波洗牙機,庆暐医疗器材科技股份有限公司慶暐醫療器材科技股份有限公司,国械注许20152170007,2020-09-21,2025-09-20
1,超声皮肤影像仪Ultrasound SkinScanner,塔伯纳专业医疗器械有限公司tpm taberna pro medicum GmbH,国械注进20152061940,2020-09-21,2025-09-20
1,牙科超声驱动装置Surgical unit Piezomed,伟合牙科设备有限责任公司W&H Dentalwerk Bürmoos GmbH,国械注进20153013103,2020-09-17,2025-09-16
1,彩色超声诊断系统Diagnostic U1trasound System and Transducers,"飞利浦超声股份有限公司Philips Ultrasound, Inc.",国械注进20203060422,2020-09-11,2025-09-10
2,超声血管导引穿刺套件Site ~ Rite* Needle Guide Kits & Ultrasound Probe Cover Kits,"巴德血管通道系统公司Bard Access Systems, Inc.",国械注进20162061625,2020-09-07,2025-09-06
2,一次性内窥镜超声吸引活检针 ディスポーザブル吸引生検針,奥林巴斯医疗株式会社 オリンパスメディカルシステムズ株式会社,国械注进20202020371,2020-08-07,2025-08-06
2,超声内窥镜专用水囊和水囊外鞘管超音波用バルーン,奥林巴斯医疗株式会社オリンパスメディカルシステムズ株式会社,国械注进20162062541,2020-08-06,2025-08-05
