证券代码,证券简称,营收区域结构
000001.SZ,平安银行,总行:43.94%;东区:20.71%;南区:18.36%;北区:10.62%;西区:6.37%
000002.SZ,万科A,南方区域:32.46%;上海区域:25.98%;北京区域:19.4%;中西部区域:18.26%;其他业务(地区):5.84%;抵销:-1.94%
000004.SZ,国华网安,西南:27.64%;华东:18.53%;华南:14.9%;华北:12.87%;东北:11.93%;华中:8.62%;西北:5.52%
000005.SZ,世纪星源,杭州:87.65%;深圳:12.35%
000006.SZ,深振业A,广东省:49.99%;陕西省:20.51%;湖南省:16.16%;天津市:11.03%;广西:2.31%
000007.SZ,全新好,广东:100%
000008.SZ,神州高铁,华东地区:28.62%;华北地区:28.54%;华中地区:13.69%;西南地区:10.59%;华南地区:6.22%;西北地区:5.59%;东北地区:4.17%;中南地区:1.51%;国外:1.07%
000009.SZ,中国宝安,中国境内销售:80.95%;境外:18.58%;其他业务(地区):0.46%
000010.SZ,美丽生态,西南:74.93%;华东:17.7%;华南:5.28%;华北:1.93%;华中:0.14%;东北:0.01%
000011.SZ,深物业A,深圳:93.72%;其他:3.65%;东莞地区:2.63%
000012.SZ,南玻A,中国:87.13%;港澳台及海外:12.87%
000014.SZ,沙河股份,新乡:62.58%;长沙:34.22%;深圳:3.2%
000016.SZ,深康佳A,境外:63.13%;境内:36.87%
000017.SZ,*ST中华A,国内:100%
000019.SZ,深粮控股,内销:99.63%;出口:0.37%
000020.SZ,深华发A,华中:72.17%;港澳台及海外:21.06%;华南:6.77%
000021.SZ,深科技,亚太(除中国外):45.6%;其他:34.36%;中国含(香港):19.44%;其他业务(地区):0.6%
000023.SZ,深天地A,深圳:72.78%;湖南:16.91%;江苏:9.57%;陕西地区:0.65%;其他业务(地区):0.09%
000025.SZ,特力A,深圳:64.54%;四川:33.07%;其他业务(地区):1.6%;安徽:0.79%
000026.SZ,飞亚达,华南:49.24%;西北:15.83%;华东:13.57%;西南:9.62%;东北:6.23%;华北:5.52%
000027.SZ,深圳能源,广东省:58.84%;其他:41.16%
000028.SZ,国药一致,国内:100%
000029.SZ,深深房A,广东:97.75%;其他地区:2.94%;其他业务(地区):0.6%;美国:0.02%;内部抵销:-1.31%
000030.SZ,富奥股份,东北:68.26%;华东:14.55%;西南:10.28%;华北:6.78%;华中:2.02%;华南:1.02%;北美洲:0.29%;内部抵销数:-3.22%
000031.SZ,大悦城,华南:27.95%;北京:24.49%;上海:15.9%;西南:6.62%;海南:4.95%;苏南:4.74%;南京:4.26%;东北:4.01%;华中:2.63%;天津:2.22%;浙江:0.81%;西北:0.56%;山东:0.46%;港澳台地区及海外地区:0.39%
000032.SZ,深桑达A,中国大陆:54.9%;港澳台及海外:45.1%
000034.SZ,神州数码,内销:91.65%;境外:8.35%
000035.SZ,中国天楹,欧洲:70.84%;美洲:14.64%;国内:12.75%;亚洲其他地区:1.52%;其他:0.25%
000036.SZ,华联控股,华南:66.98%;华东:33.02%
000037.SZ,深南电A,境内:100%
000038.SZ,深大通,广东:78.13%;北京:10.3%;山东:5.7%;杭州:5.69%;其他业务(地区):0.02%
000039.SZ,中集集团,中国:83.46%;欧洲:7.28%;美洲:5.52%;其他业务(地区):2.25%;亚洲(除中国以外):1.02%;其他地区:0.47%
000040.SZ,东旭蓝天,华北:40.96%;华东:33.83%;华南:10.15%;华中:5.47%;西北:5.18%;东北:2.5%;西南:1.17%;港澳台及海外:0.75%
000042.SZ,中洲控股,广东:61.34%;四川:22.46%;山东地区:15.97%;上海:3.75%;内部抵销:-3.51%
000045.SZ,深纺织A,国内:89.07%;国外:8.2%;其他业务(地区):2.73%
000046.SZ,泛海控股,华北地区:46.59%;其他业务(地区):32.9%;华中地区:20.51%
