腔镜直线型切割吻合器ENDOPATH Endoscopic Linear Cutters,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20162022350,2021-04-23,2026-04-22
一次性使用直线型切割吻合器及渐进式钉匣GIA stapler and cartridge with Tri-Staple technology,柯惠有限责任公司 Covidien llc,国械注进20212020064,2021-03-09,2026-03-08
电动腔镜直线型切割吻合器和钉仓Echelon Flex Powered Plus Articulating Endoscopic Linear Cutter and Endopath Echelon Endoscopic Linear Cutter Reloads with Gripping Surface Technology,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20163012453,2021-02-18,2026-02-17
电动腔镜直线型血管切割吻合器和钉仓ECHELONTM Flex Powered Vascular Stapler with Advanced Placement Tip and ENDOPATH ECHELONTM Vascular White Reload for Advanced Placement Tip,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20163012981,2021-02-01,2026-01-31
一次性使用管型吻合器EEA Circular Stapler with Tri-Staple Technology,柯惠有限责任公司Covidien llc,国械注进20202020430,2020-11-23,2025-09-21
一次性使用管型吻合器 EEA Circular Stapler with Tri-Staple Technology,柯惠有限责任公司 Covidien llc,国械注进20202020436,2020-09-29,2025-09-28
一次性使用管型吻合器EEA Circular Stapler with Tri-Staple,柯惠有限责任公司Covidien llc,国械注进20202020430,2020-09-22,2025-09-21
一次性使用电动管型吻合器ECHELON CIRCULAR™ Powered Staplers,"爱惜康内镜外科器械有限责任公司ETHICON ENDO-SURGERY, LLC",国械注进20203010417,2020-09-11,2025-09-10
弧形切割吻合器和钉仓CONTOUR Curved Cutter Stapler and Reloads,"爱惜康内镜外科器械有限责任公司Ethicon Endo - Surgery, LLC",国械注进20172021705,2020-09-07,2025-09-06
腔镜直线型切割吻合器和钉仓ENDOPATH Endoscopic Linear Cutters and Reloads,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20153023646,2020-09-02,2025-09-01
直线形切割吻合器和钉仓PROXIMATE Linear Cutter and Reloads,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20153023188,2020-08-18,2025-08-17
腔镜下一次性切割吻合器弧形钉仓Endo GIA Auto Suture Radial Reload with Tri-Staple Technology,柯惠有限责任公司Covidien llc,国械注进20153021467,2020-01-19,2025-01-18
"圆形痔吻合器Hemorrhidal Circular Stapler, Suture Threader,Circular Anal Dilator, and Purse-string Suture Anoscope","爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20152023310,2020-01-14,2025-01-13
一次性切割吻合器及钉匣GIA Autosuture/SGIA Autosuture Stapler and Loading Unit with DST Series Technology,柯惠有限责任公司Covidien llc,国械注进20152021000,2019-12-26,2024-12-25
旋转头切割吻合器GIA Autosuture Universal Stapler,柯惠有限责任公司Covidien llc,国械注进20152021156,2019-12-13,2024-12-12
内窥镜弯型腔内吻合器ILS Endoscopic Curved Intraluminal Stapler,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20152020241,2019-09-20,2024-09-19
旋转头闭合吻合器Roticulator Autosuture Articulating Stapler,柯惠有限责任公司Covidien llc,国械注进20153020047,2019-09-12,2024-09-11
弯型和直型腔内吻合器ILS Curved and Straight Intraluminal Staplers,爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery， LLC,国械注进20152022249,2019-08-28,2024-08-27
直线形切割吻合器和可调节钉仓Linear Cutter 55/75mm and Selectable Cartridge/reloads,"爱惜康内镜外科器械有限责任公司Ethicon Endo-Surgery, LLC",国械注进20152020243,2019-07-22,2024-07-21
切割吻合器及钉匣Reliamax Gastrointestinal Anastomosis and Reload,柯惠有限责任公司Covidien llc,国械注进20153020646,2019-06-21,2024-06-20
内镜用切割吻合器及一次性钉匣Multifire Endo GIA Autosuture Single Use Stapler & Single Use Loading Unit,柯惠有限责任公司Covidien llc,国械注进20152020398,2019-05-21,2024-05-20
腔镜下切割吻合器及一次性钉匣Endo GIA Ultra Universal Stapler and Reload with Tri-staple Technology,柯惠有限责任公司Covidien llc,国械注进20153020082,2019-05-16,2024-05-15
端端吻合器Premium Plus CEEA Autosuture Circular Stapler,柯惠有限责任公司Covidien llc,国械注进20152020237,2019-05-16,2024-05-15
重复性使用电动式切割吻合器iDrive Ultra Powered Stapling System,柯惠有限责任公司Covidien llc,国械注进20143015528,2019-05-16,2024-05-15
内镜用切割吻合器及一次性钉匣Endo GIA Autosuture Universal Stapler and Loading Unit,柯惠有限责任公司Covidien llc,国械注进20153020083,2019-05-16,2024-05-15
端端吻合器EEA Autosuture Circular Stapler and EEA OrVIL Autosuture Transoral Circular Stapler Anvil,柯惠有限责任公司Covidien llc,国械注进20142026031,2019-05-16,2024-05-15
"电动腔镜直线型切割吻合器和钉仓ECHELON FLEX™ 45mm Powered Plus Articulating Endoscopic Linear Cutters and ECHELON ENDOPATH™ Endoscopic Linear Cutter Reloads, 45mm (+ Gripping Surface Technology)","Ethicon Endo-Surgery, LLC",国械注进20193010194,2019-04-16,2024-04-15
闭合吻合器及一次性钉匣TA Autosuture Stapler & Loading Unit with DST Series Technology,柯惠有限责任公司Covidien llc,国械注进20153020046,2019-03-04,2024-03-03
痔吻合器及附件EEA Hemorrhoid and Prolapse Stapler Set with DST Series Technology,Covidien llc,国械注进20182022480,2018-10-29,2023-10-28
腔镜下切割吻合器预置可吸收膜钉匣Endo GIA™ Reinforced Reload with Tri-Staple™ Technology,Covidien llc,国械注进20183020333,2018-09-17,2023-09-16
腔镜直线型切割吻合器Echelon 60 ENDOPATH Endoscopic Linear Cutters,"Ethicon Endo-Surgery, LLC",国械注进20183651869,2018-03-30,2023-03-29
端端吻合器导引器DST Series EEA Introducer Device,Covidien llc,国械注进20172226550,2017-08-24,2022-08-23
腔镜关节头直线型切割吻合器和钉仓ECHELON FLEX Articulating Endoscopic Linear Cutters and Reloads,"Ethicon Endo-Surgery, LLC",国械注进20173656323,2017-07-24,2022-07-23
电动腔镜关节头直线型切割吻合器ECHELON Flex Powered Articulating Endoscopic Linear Cutters,"Ethicon Endo-Surgery, LLC",国械注进20173226240,2017-07-12,2022-07-11
一次性使用圆形吻合器Disposable Curved Circular Stapler,"Ethicon Endo-Surgery, LLC",国械注进20172652054,2017-06-26,2022-06-25
直线型吻合器和钉仓PROXIMATE Linear Stapler and Reloads,"Ethicon Endo-Surgery, LLC",国械注进20173652017,2017-06-26,2022-06-25
弧形切割吻合器和钉仓CONTOUR Curved Cutter Stapler and Reloads,"Ethicon Endo - Surgery, LLC",国械注进20173651705,2017-06-09,2022-06-08
可重复使用直线型切割吻合器和一次性钉仓 ValuTrus Reusable Linear Cutter Stapler,"Ethicon Endo-Surgery, LLC",国械注进20163654909,2016-12-06,2021-12-05
腔镜直线型切割吻合器和钉仓 ECHELON 45 ENDOPATH Stapler Endoscopic Linear Cutter and Reloads,"Ethicon Endo-Surgery, LLC",国械注进20163654883,2016-11-30,2021-11-29
电动腔镜直线型血管切割吻合器和钉仓ECHELONTM Flex Powered Vascular Stapler with Advanced Placement Tip and ENDOPATH ECHELONTM Vascular White Reload for Advanced Placement Tip,"Ethicon Endo-Surgery, LLC",国械注进20163222981,2016-10-24,2021-10-23
电动腔镜直线型切割吻合器和钉仓Echelon Flex Powered Plus Articulating Endoscopic Linear Cutter and Endopath Echelon Endoscopic Linear Cutter Reloads with Gripping Surface Technology,"Ethicon Endo-Surgery, LLC",国械注进20163212453,2016-07-08,2021-07-07
